method,avg_map,last_maf1,last_mif1,last_map,paper_avg_map,paper_last_maf1,paper_last_mif1,paper_last_map
finetune,18.1,0.7,4.6,5.9,27.6,2.8,8.2,20.2
ewc,19.0,0.7,4.7,6.7,28.1,2.8,8.7,22.5
lwf,44.6,25.1,20.1,28.3,44.3,28.8,41.4,36.5
er,40.0,18.4,16.8,27.2,39.4,10.1,13.6,34.1
rs,37.8,15.0,20.6,23.1,38.2,5.8,11.6,31.8
ocdm,35.5,8.1,10.9,15.0,36.3,3.7,7.9,30.2
prs,40.7,21.3,17.3,27.4,37.7,4.4,7.6,32.5
agcn,39.3,16.6,18.2,22.1,36.1,24.4,36.4,30.9
aesl,39.1,18.5,19.3,21.8,45.3,30.8,45.1,39.3
