method,avg_map,last_maf1,last_mif1,last_map,paper_avg_map,paper_last_maf1,paper_last_mif1,paper_last_map
finetune,37.6,6.2,9.7,14.6,36.4,9.2,14.8,27.3
ewc,38.3,7.1,9.4,15.8,37.9,8.3,14.3,29.3
lwf,53.1,36.0,41.0,37.4,46.6,37.9,51.7,40.6
er,46.5,16.2,16.1,30.4,44.7,8.1,14.4,38.0
rs,49.0,17.2,20.8,32.2,43.7,8.1,12.3,36.5
ocdm,47.6,15.6,23.3,26.5,44.5,8.7,12.0,38.4
prs,49.9,20.2,17.3,32.2,43.3,10.8,13.5,35.5
agcn,52.8,35.1,40.1,37.2,47.3,35.3,50.9,41.9
aesl,48.7,33.2,40.1,33.1,49.0,38.4,51.8,42.7
