method,avg_map,last_maf1,last_mif1,last_map,paper_avg_map,paper_last_maf1,paper_last_mif1,paper_last_map
finetune,23.4,2.5,5.1,7.7,29.9,4.4,10.3,22.6
ewc,25.3,2.5,5.1,7.9,32.2,4.4,9.7,24.7
lwf,49.2,32.2,29.3,35.0,45.0,32.3,45.2,40.0
er,40.6,19.0,16.3,27.2,41.3,9.2,13.3,36.8
rs,39.3,16.9,23.9,25.4,38.7,7.5,11.7,32.9
ocdm,37.4,7.4,14.0,18.8,38.2,5.5,9.7,30.1
prs,42.6,22.8,19.9,30.3,38.2,5.5,5.8,32.7
agcn,44.0,21.7,26.2,24.5,39.5,22.7,38.4,37.0
aesl,43.8,26.5,28.1,28.4,47.8,32.3,48.0,42.3
